date,start,high,low,end,yield,
2016/12/30,645,651.6,641.6,649.5,8643000,
2016/12/29,650,655.7,646.1,648.3,8993000,
2016/12/28,658,665.4,658,662.6,6085000,
2016/12/27,658,667.7,656.6,661.9,8022000,
2016/12/26,654,664,651.5,662.6,8689000,
2016/12/22,665.2,666.2,656.2,662,13017000,
2016/12/21,690,694,671.3,675.2,13264000,
2016/12/20,682.2,690.9,681.2,689.6,10003000,
2016/12/19,685,692.7,681.4,688.9,12297000,
2016/12/16,705.5,705.5,682.5,691.1,17793000,
2016/12/15,712,714,698.1,702.4,9851000,
2016/12/14,702.5,713.2,701.6,709.2,8953000,
2016/12/13,705.6,706,692.2,700.2,10386000,
2016/12/12,720,720.8,695.7,706.1,15897000,
2016/12/9,710,717.9,707.6,717.4,16577000,
2016/12/8,707,720,705,715.5,32024000,
2016/12/7,677.2,678.7,673.1,673.4,8971000,
2016/12/6,681.9,684.4,672.4,673.1,11330000,
2016/12/5,679.3,679.3,666.5,677.8,9288000,
2016/12/2,688,689,676,680.7,15881000,
2016/12/1,691.2,701,687.3,695.6,25745000,
2016/11/30,665.3,678.9,664.7,674.8,22079000,
2016/11/29,657.8,663,652.6,655.4,8189000,
2016/11/28,655,658.3,651.2,657.6,8573000,
2016/11/25,656.6,664.2,648.1,654.8,15615000,
2016/11/24,663.8,666.3,655.5,659.8,11229000,
2016/11/22,653,654.9,645.7,653.8,8308000,
2016/11/21,656,659.5,648.7,654.1,9549000,
2016/11/18,665,668.3,651.5,651.5,13371000,
2016/11/17,655.1,660.8,652.3,659,12801000,
2016/11/16,656,662.9,652.1,655.1,11837000,
2016/11/15,650,651.3,639,648.3,15167000,
2016/11/14,631.4,640.4,627.2,630.5,9680000,
2016/11/11,640,642.9,623.9,625.3,16214000,
2016/11/10,624.5,634,618.1,631,20105000,
2016/11/9,619,619.9,571,577.5,16565000,
2016/11/8,616.9,620.1,607.2,608.8,8049000,
2016/11/7,615,615.6,602.4,611.6,10262000,
2016/11/4,597.1,604,589.3,598.3,11251000,
2016/11/2,605,610.5,601.5,604,12603000,
2016/11/1,614.2,619.2,611.8,617.9,11596000,
2016/10/31,603.4,627,601.3,623.1,23386000,
2016/10/28,599,611.3,586.5,608.4,34927000,
2016/10/27,565,604.7,558.8,599.3,42245000,
2016/10/26,559.4,559.5,551,555.8,15255000,
2016/10/25,568.2,572.4,564.5,565.9,6412000,
2016/10/24,569.1,570.9,559.3,563.7,9264000,
2016/10/21,568,576.6,566.3,573,10791000,
2016/10/20,557.3,564.6,554.4,561.8,17398000,
2016/10/19,571,577.1,563.3,563.7,14050000,
2016/10/18,572.8,579.5,570.4,574.9,9473000,
2016/10/17,563.7,573.1,561.7,572.8,15015000,
2016/10/14,563,577.6,562,563.5,22824000,
2016/10/13,551,559.3,546.2,551.4,9740000,
2016/10/12,548.3,555.6,546.9,553.3,10746000,
2016/10/11,560.1,568.2,557.1,558.3,12340000,
2016/10/7,566.9,571,554.9,570.1,18082000,
2016/10/6,566.5,584.7,566.5,568.7,29846000,
2016/10/5,545,545.8,535.5,538.2,9980000,
2016/10/4,545.3,554.3,542.6,544.5,8168000,
2016/10/3,547.4,555,541.3,541.7,8547000,
2016/9/30,543,543.5,535.1,540,13347000,
2016/9/29,542.9,554.3,541.4,550.3,10979000,
2016/9/28,535.2,538,529.1,537,10123000,
2016/9/27,530.7,540.4,524.5,540,13499000,
2016/9/26,536.2,543.8,535.5,539.5,11144000,
2016/9/23,543.6,547.7,533.4,539.4,15431000,
2016/9/21,536.4,553,531.9,547,19091000,
2016/9/20,520.5,538.9,519.3,536.2,14669000,
2016/9/16,528.2,529.5,520.9,524.8,11328000,
2016/9/15,520,527.7,518,526.6,11348000,
2016/9/14,524,527,520.6,522.4,11695000,
2016/9/13,531.2,537.4,527.1,528.1,9764000,
2016/9/12,535.1,541,524,528.1,15277000,
2016/9/9,529.9,537.4,526.9,533.2,13054000,
2016/9/8,534,535.8,520.5,529.1,14484000,
2016/9/7,520,532.8,515.1,532.2,13572000,
2016/9/6,537.6,548.8,534.4,536.3,14511000,
2016/9/5,535.7,545.1,532,535.6,10991000,
2016/9/2,521,529.6,518.1,528,10056000,
2016/9/1,528,530.7,522.1,527,15159000,
2016/8/31,520.7,527.9,517.5,525.2,12590000,
2016/8/30,502.1,516.2,502.1,515,9442000,
2016/8/29,515,516.4,501.5,507.8,16622000,
2016/8/26,504.8,507.2,501,502.8,7202000,
2016/8/25,509.2,511.2,504.5,506.1,10285000,
2016/8/24,510,520,506,507.1,12324000,
2016/8/23,508.7,512.9,503,507.7,14080000,
2016/8/22,510.2,522.5,506.7,517.1,16875000,
2016/8/19,495,517.3,493.1,512,29740000,
